key,value,description
waterway,rapids,"A natural barrier, formed by a fast-flowing, often turbulent, section of the watercourse."
waterway,lock_gate,"To mark the position of gates at each end of a lock. Alternatively, for smaller locks use a single lock=yes node in the middle of the lock."
water,river,The water area of a river. Should contain waterway=river way inside.
water,lake,"A lake: a body of relatively still fresh or salt water, localized in a basin that is surrounded by land. Artificially created lakes should instead be tagged as water=pond or water=reservoir. Intermittent lakes (which disappear seasonally) should be tagged with intermittent=yes; salt lakes — with salt=yes."
water,stream,The water covered area of a stream: a naturally-formed watercourse which is narrower than a river
water,oxbow,An oxbow lake: U-shaped body of water formed when a wide meander from the main stem of a river is cut off to create a lake.
water,lagoon,A lagoon: a body of shallow sea water or brackish water separated from the sea by some form of barrier. It's better to specify saltness of water with salt=yes/no.
water,stream_pool,"A stream pool; a small and usually deep collection of fresh water, occurring along a stream. Water velocity in the pool is typically much lower than in the stream. Frequently found below a waterfall. May be used as a ""swimming hole""."
water,rapids,"A fast-flowing, often turbulent, section of a watercourse such as a river, often containing exposed rocks or boulders. This tag is only for mapping rapids area. Rapids still have to be mapped on river centerline, see waterway=rapids and for more rapids properties whitewater:rapid_grade=*."
water,reservoir,"A reservoir or an artificial lake is used to store water. Usually formed by a dam over a natural water course, water then backs up into a natural valley or depression. Also see landuse=reservoir"
water,basin,An area of land artificially graded to hold water. For more details you can use basin=*. Also see the much more common tag landuse=basin
landuse,commercial,"Predominantly commercial businesses and their offices. Commercial businesses which sell goods should be categorised as landuse=retail. Commercial businesses can sell services on site and may include private Doctor's Surgeries, and those non-government services for mental and physical health, such as a Counsellor's or Physiotherapist's practice or Veterinary. Government services and businesses should not use this tag. Commercial businesses can also include office buildings and business parks which have limited interface with the public and sell their services either on site, or externally. Commercial businesses have low amounts of public foot traffic."
landuse,education,An area predominately used for educational purposes/facilities.
landuse,industrial,"Predominantly industrial landuses such as workshops, factories, or warehouses."
landuse,residential,"Land where people reside; predominantly residential detached (single houses, grouped dwellings), or attached (apartments, flats, units) dwellings. For ""Mixed-Use"" areas where more than half of the land is residential, tag as residential."
landuse,retail,"Predominantly retail businesses such as shops. Retail businesses sell physical goods such as food (prepared or grocery), clothing, medicine, stationary, appliances, tools, or other similar physical items. Retail businesses have high amounts of public foot traffic. Retail businesses do not exclusively provide or sell their services. For businesses which sell services see landuse=commercial."
landuse,allotments,A piece of land given over to local residents for growing vegetables and flowers.
landuse,farmland,"An area of farmland used for tillage (cereals, vegetables, oil plants, flowers)."
landuse,farmyard,"An area of land with farm buildings like farmhouse, dwellings, farmsteads, sheds, stables, barns, equipment sheds, feed bunkers, etc. plus the open space in between them and the shrubbery/trees around them."
landuse,flowerbed,An area designated for flowers
landuse,forest,Managed forest or woodland plantation (Other languages). Some use this to map an area of trees rather than the use of the land. See Forest.
landuse,meadow,"A meadow or pasture: land primarily vegetated by grass and non-woody plants, mainly used for hay or grazing"
landuse,orchard,intentional planting of trees or shrubs maintained for food production
landuse,vineyard,A piece of land where grapes are grown.
landuse,basin,An area artificially graded to hold water.
landuse,brownfield,Describes land scheduled for new development where old buildings have been demolished and cleared
landuse,cemetery,Place for burials. You can add religion=* (values listed in the place of worship page). Smaller places (e.g. with a church nearby) may use amenity=grave_yard instead.
landuse,conservation,"Protected areas (deprecated) Alternate tagging of same thing: boundary=protected_area, protected_area=*"
landuse,depot,"An area used as a depot for e.g. vehicles (trains, buses or trams). Consider using rather standard landuse tags like landuse=railway, landuse=commercial, landuse=industrial, with subtag like industrial=depot."
landuse,garages,"One level buildings with boxes commonly for cars, usually made of brick and metal. Usually this area belong to garage cooperative with own name, chairman, budget, rules, security, etc."
landuse,grass,"An area of mown and managed grass. Some view this as not a landuse, see the main page landuse=grass for information."
landuse,greenfield,Describes land scheduled for new development where there have been no buildings before. A greenfield is scheduled to turn into a construction site
landuse,greenhouse_horticulture,Area used for growing plants in greenhouses
landuse,landfill,Place where waste is dumped.
landuse,military,For land areas owned/used by the military for whatever purpose
landuse,plant_nursery,intentional planting of plants maintaining for the production of new plants
landuse,port,coastal industrial area where commercial traffic is handled. Consider using landuse=industrial + industrial=port for this type of industrial area.
landuse,quarry,Surface mineral extraction
landuse,rail,"Area for railway use, generally off-limits to the general public"
landuse,recreation_ground,"An open green space for general recreation, which may include pitches, nets and so on, usually municipal but possibly also private to colleges or companies"
landuse,religious,An area used for religious purposes
landuse,reservoir,A Reservoir on Wikipedia. Less popular variant of natural=water + water=reservoir. See also the approved water details proposal and pointers to discussion on talk page.
landuse,salt_pond,A place where sea water is evaporated to extract its salt
landuse,village_green,"An area of common land, usually grass, in the centre of a village (quintessentially English – defined separately from 'common land' under the Commons Registration Act 1965 and the Commons Act 2006)."
landuse,winter_sports,An area dedicated to winter sports (e.g. skiing)
