key,value,description
amenity,grave_yard,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead."
amenity,gym,Deprecated. Use leisure=fitness_centre or leisure=sports_centre instead. A place which houses exercise equipment for the purpose of physical exercise.
amenity,hunting_stand,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain
amenity,internet_cafe,A place whose principal role is providing internet services to the public.
amenity,kitchen,A public kitchen in a facility to use by everyone or customers
amenity,kneipp_water_cure,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.
amenity,lounger,An object for people to lie down.
amenity,marketplace,A marketplace where goods and services are traded daily or weekly.
amenity,monastery,Monastery is the location of a monastery or a building in which monks and nuns live.
amenity,photo_booth,Photo Booth – A stand to create instant photo.
amenity,place_of_mourning,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died."
amenity,place_of_worship,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship."
amenity,public_bath,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring"
amenity,public_building,A generic public building. Don't use! See office=government.
amenity,refugee_site,A human settlement sheltering refugees or internally displaced persons
amenity,vending_machine,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*"
amenity,marketplace,A marketplace where goods and services are traded daily or weekly.
amenity,monastery,Monastery is the location of a monastery or a building in which monks and nuns live.
amenity,photo_booth,Photo Booth – A stand to create instant photo.
amenity,place_of_mourning,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died."
amenity,place_of_worship,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship."
amenity,public_bath,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring"
amenity,public_building,A generic public building. Don't use! See office=government.
amenity,refugee_site,A human settlement sheltering refugees or internally displaced persons
amenity,vending_machine,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*"
