,class,label,gloss
52,http://yago-knowledge.org/resource/wordnet_fence_103327234,fencing,a barrier that serves to enclose an area
53,http://yago-knowledge.org/resource/wordnet_fence_103327234,fence,a barrier that serves to enclose an area
54,http://yago-knowledge.org/resource/wordnet_fault_109278537,shift,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
55,http://yago-knowledge.org/resource/wordnet_fault_109278537,fracture,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
56,http://yago-knowledge.org/resource/wordnet_fault_109278537,break,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
57,http://yago-knowledge.org/resource/wordnet_fault_109278537,fault,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
58,http://yago-knowledge.org/resource/wordnet_fault_109278537,faulting,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
59,http://yago-knowledge.org/resource/wordnet_fault_109278537,geological fault,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; 'they built it right over a geological fault'; 'he studied the faulting of the earth's crust'
60,http://yago-knowledge.org/resource/wordnet_weir_104571566,weir,a low dam built across a stream to raise its level or divert its flow
61,http://yago-knowledge.org/resource/wordnet_killing_field_108690479,killing field,(usually plural) an area where many people have died (usually by massacre or genocide during war or violent civil disturbance)
62,http://yago-knowledge.org/resource/wordnet_highland_109302616,highland,"elevated (e.g., mountainous) land"
63,http://yago-knowledge.org/resource/wordnet_highland_109302616,upland,"elevated (e.g., mountainous) land"
64,http://yago-knowledge.org/resource/wordnet_bomb_shelter_102868638,bomb shelter,a chamber (often underground) reinforced against bombing and provided with food and living facilities; used during air raids
65,http://yago-knowledge.org/resource/wordnet_bomb_shelter_102868638,air-raid shelter,a chamber (often underground) reinforced against bombing and provided with food and living facilities; used during air raids
66,http://yago-knowledge.org/resource/wordnet_bomb_shelter_102868638,bombproof,a chamber (often underground) reinforced against bombing and provided with food and living facilities; used during air raids
67,http://yago-knowledge.org/resource/wordnet_butcher_shop_102927161,butcher shop,a shop in which meat and poultry (and sometimes fish) are sold
68,http://yago-knowledge.org/resource/wordnet_butcher_shop_102927161,meat market,a shop in which meat and poultry (and sometimes fish) are sold
69,http://yago-knowledge.org/resource/wordnet_central_102994858,exchange,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
70,http://yago-knowledge.org/resource/wordnet_central_102994858,central,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
71,http://yago-knowledge.org/resource/wordnet_central_102994858,telephone exchange,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
72,http://yago-knowledge.org/resource/wordnet_swimming_pool_104371225,natatorium,pool that provides a facility for swimming; '`swimming bath' is a British term'
73,http://yago-knowledge.org/resource/wordnet_swimming_pool_104371225,swimming pool,pool that provides a facility for swimming; '`swimming bath' is a British term'
74,http://yago-knowledge.org/resource/wordnet_swimming_pool_104371225,swimming bath,pool that provides a facility for swimming; '`swimming bath' is a British term'
75,http://yago-knowledge.org/resource/wordnet_region_108630039,part,the extended spatial location of something; 'the farming regions of France'; 'religions in all parts of the world'; 'regions of outer space'
76,http://yago-knowledge.org/resource/wordnet_region_108630039,region,the extended spatial location of something; 'the farming regions of France'; 'religions in all parts of the world'; 'regions of outer space'
77,http://yago-knowledge.org/resource/wordnet_enclave_108553132,enclave,an enclosed territory that is culturally distinct from the foreign territory that surrounds it
78,http://yago-knowledge.org/resource/wordnet_pass_109386842,notch,the location in a range of mountains of a geological formation that is lower than the surrounding peaks; 'we got through the pass before it started to snow'
79,http://yago-knowledge.org/resource/wordnet_pass_109386842,pass,the location in a range of mountains of a geological formation that is lower than the surrounding peaks; 'we got through the pass before it started to snow'
80,http://yago-knowledge.org/resource/wordnet_pass_109386842,mountain pass,the location in a range of mountains of a geological formation that is lower than the surrounding peaks; 'we got through the pass before it started to snow'
81,http://yago-knowledge.org/resource/wordnet_bakery_102776631,bakeshop,a workplace where baked goods (breads and cakes and pastries) are produced or sold
82,http://yago-knowledge.org/resource/wordnet_bakery_102776631,bakehouse,a workplace where baked goods (breads and cakes and pastries) are produced or sold
83,http://yago-knowledge.org/resource/wordnet_bakery_102776631,bakery,a workplace where baked goods (breads and cakes and pastries) are produced or sold
84,http://yago-knowledge.org/resource/wordnet_desktop_108663703,desktop,the top of a desk
85,http://yago-knowledge.org/resource/wordnet_geyser_109288635,geyser,a spring that discharges hot water and steam
86,http://yago-knowledge.org/resource/wordnet_covered_bridge_103122073,covered bridge,a bridge whose passageway is protected by a roof and enclosing sides
87,http://yago-knowledge.org/resource/wordnet_futures_exchange_103408918,forward market,a commodity exchange where futures contracts are traded
88,http://yago-knowledge.org/resource/wordnet_futures_exchange_103408918,futures exchange,a commodity exchange where futures contracts are traded
89,http://yago-knowledge.org/resource/wordnet_futures_exchange_103408918,futures market,a commodity exchange where futures contracts are traded
90,http://yago-knowledge.org/resource/wordnet_plaza_103965456,plaza,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
91,http://yago-knowledge.org/resource/wordnet_plaza_103965456,center,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
92,http://yago-knowledge.org/resource/wordnet_plaza_103965456,shopping center,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
93,http://yago-knowledge.org/resource/wordnet_plaza_103965456,mall,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
94,http://yago-knowledge.org/resource/wordnet_plaza_103965456,shopping centre,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
95,http://yago-knowledge.org/resource/wordnet_plaza_103965456,shopping mall,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace; 'a good plaza should have a movie house'; 'they spent their weekends at the local malls'
96,http://yago-knowledge.org/resource/wordnet_campus_108518374,campus,a field on which the buildings of a university are situated
97,http://yago-knowledge.org/resource/wordnet_herb_garden_103515644,herb garden,a garden for growing herbs
98,http://yago-knowledge.org/resource/wordnet_home_103528100,home,an institution where people are cared for; 'a home for the elderly'
99,http://yago-knowledge.org/resource/wordnet_home_103528100,rest home,an institution where people are cared for; 'a home for the elderly'
100,http://yago-knowledge.org/resource/wordnet_home_103528100,nursing home,an institution where people are cared for; 'a home for the elderly'
101,http://yago-knowledge.org/resource/wordnet_business_district_108539072,business district,the central area or commercial center of a town or city; 'the heart of Birmingham's downtown'
102,http://yago-knowledge.org/resource/wordnet_business_district_108539072,downtown,the central area or commercial center of a town or city; 'the heart of Birmingham's downtown'
103,http://yago-knowledge.org/resource/wordnet_bog_109225943,bog,wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
104,http://yago-knowledge.org/resource/wordnet_bog_109225943,peat bog,wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
105,http://yago-knowledge.org/resource/wordnet_autobahn_102758863,autobahn,an expressway in a German-speaking country
106,http://yago-knowledge.org/resource/wordnet_cliff_109246464,drop,a steep high face of rock; 'he stood on a high cliff overlooking the town'; 'a steep drop'
107,http://yago-knowledge.org/resource/wordnet_cliff_109246464,cliff,a steep high face of rock; 'he stood on a high cliff overlooking the town'; 'a steep drop'
108,http://yago-knowledge.org/resource/wordnet_cliff_109246464,drop-off,a steep high face of rock; 'he stood on a high cliff overlooking the town'; 'a steep drop'
109,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,burial site,a tract of land used for burials
110,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,cemetery,a tract of land used for burials
111,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,memorial park,a tract of land used for burials
112,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,graveyard,a tract of land used for burials
113,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,burial ground,a tract of land used for burials
114,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,necropolis,a tract of land used for burials
115,http://yago-knowledge.org/resource/wordnet_cemetery_108521623,burying ground,a tract of land used for burials
116,http://yago-knowledge.org/resource/wordnet_bunker_102920369,bunker,a hazard on a golf course
117,http://yago-knowledge.org/resource/wordnet_bunker_102920369,trap,a hazard on a golf course
118,http://yago-knowledge.org/resource/wordnet_bunker_102920369,sand trap,a hazard on a golf course
119,http://yago-knowledge.org/resource/wordnet_air_terminal_102693246,air terminal,a terminal that serves air travelers or air freight
120,http://yago-knowledge.org/resource/wordnet_air_terminal_102693246,airport terminal,a terminal that serves air travelers or air freight
121,http://yago-knowledge.org/resource/wordnet_black_hole_109223177,black hole,a region of space resulting from the collapse of a star; extremely high gravitational field
122,http://yago-knowledge.org/resource/wordnet_vineyard_104536038,vinery,a farm of grapevines where wine grapes are produced
123,http://yago-knowledge.org/resource/wordnet_vineyard_104536038,vineyard,a farm of grapevines where wine grapes are produced
124,http://yago-knowledge.org/resource/wordnet_grave_103455033,grave,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone); 'he put flowers on his mother's grave'
125,http://yago-knowledge.org/resource/wordnet_grave_103455033,tomb,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone); 'he put flowers on his mother's grave'
126,http://yago-knowledge.org/resource/wordnet_range_108628921,range,the limits within which something can be effective; 'range of motion'; 'he was beyond the reach of their fire'
127,http://yago-knowledge.org/resource/wordnet_range_108628921,reach,the limits within which something can be effective; 'range of motion'; 'he was beyond the reach of their fire'
128,http://yago-knowledge.org/resource/wordnet_promenade_104010205,promenade,a public area set aside as a pedestrian walk
129,http://yago-knowledge.org/resource/wordnet_promenade_104010205,mall,a public area set aside as a pedestrian walk
130,http://yago-knowledge.org/resource/wordnet_marina_103721590,marina,a fancy dock for small yachts and cabin cruisers
131,http://yago-knowledge.org/resource/wordnet_tannery_104390759,tannery,workplace where skins and hides are tanned
132,http://yago-knowledge.org/resource/wordnet_real_property_113246475,real property,property consisting of houses and land
133,http://yago-knowledge.org/resource/wordnet_real_property_113246475,real estate,property consisting of houses and land
134,http://yago-knowledge.org/resource/wordnet_real_property_113246475,realty,property consisting of houses and land
135,http://yago-knowledge.org/resource/wordnet_real_property_113246475,immovable,property consisting of houses and land
136,http://yago-knowledge.org/resource/wordnet_rifle_range_108631945,rifle shot,the distance that a rifle bullet will carry; 'the target was out of rifle range'
137,http://yago-knowledge.org/resource/wordnet_rifle_range_108631945,rifle range,the distance that a rifle bullet will carry; 'the target was out of rifle range'
138,http://yago-knowledge.org/resource/wordnet_plantation_113252513,plantation,an estate where cash crops are grown on a large scale (especially in tropical areas)
139,http://yago-knowledge.org/resource/wordnet_park_108615374,park,a piece of open land for recreational use in an urban area; 'they went for a walk in the park'
140,http://yago-knowledge.org/resource/wordnet_park_108615374,commons,a piece of open land for recreational use in an urban area; 'they went for a walk in the park'
141,http://yago-knowledge.org/resource/wordnet_park_108615374,green,a piece of open land for recreational use in an urban area; 'they went for a walk in the park'
142,http://yago-knowledge.org/resource/wordnet_park_108615374,common,a piece of open land for recreational use in an urban area; 'they went for a walk in the park'
143,http://yago-knowledge.org/resource/wordnet_chemistry_lab_103013718,chem lab,a laboratory for research in chemistry
144,http://yago-knowledge.org/resource/wordnet_chemistry_lab_103013718,chemistry lab,a laboratory for research in chemistry
145,http://yago-knowledge.org/resource/wordnet_chemistry_lab_103013718,chemistry laboratory,a laboratory for research in chemistry
146,http://yago-knowledge.org/resource/wordnet_railway_station_104049098,railway station,terminal where trains load or unload passengers or goods
147,http://yago-knowledge.org/resource/wordnet_railway_station_104049098,train station,terminal where trains load or unload passengers or goods
148,http://yago-knowledge.org/resource/wordnet_railway_station_104049098,train depot,terminal where trains load or unload passengers or goods
149,http://yago-knowledge.org/resource/wordnet_railway_station_104049098,railroad terminal,terminal where trains load or unload passengers or goods
150,http://yago-knowledge.org/resource/wordnet_railway_station_104049098,railroad station,terminal where trains load or unload passengers or goods
151,http://yago-knowledge.org/resource/wordnet_arcade_102733378,arcade,a covered passageway with shops and stalls on either side
152,http://yago-knowledge.org/resource/wordnet_street_104334599,street,a thoroughfare (usually including sidewalks) that is lined with buildings; 'they walked the streets of the small town'; 'he lives on Nassau Street'
153,http://yago-knowledge.org/resource/wordnet_principality_108558488,princedom,territory ruled by a prince
154,http://yago-knowledge.org/resource/wordnet_principality_108558488,principality,territory ruled by a prince
155,http://yago-knowledge.org/resource/wordnet_administrative_district_108491826,administrative district,a district defined for administrative purposes
156,http://yago-knowledge.org/resource/wordnet_administrative_district_108491826,territorial division,a district defined for administrative purposes
157,http://yago-knowledge.org/resource/wordnet_administrative_district_108491826,administrative division,a district defined for administrative purposes
158,http://yago-knowledge.org/resource/wordnet_stopover_108657100,way station,a stopping place on a journey; 'there is a stopover to change planes in Chicago'
159,http://yago-knowledge.org/resource/wordnet_stopover_108657100,stopover,a stopping place on a journey; 'there is a stopover to change planes in Chicago'
160,http://yago-knowledge.org/resource/wordnet_mountain_109359803,mount,a land mass that projects well above its surroundings; higher than a hill
161,http://yago-knowledge.org/resource/wordnet_mountain_109359803,mountain,a land mass that projects well above its surroundings; higher than a hill
162,http://yago-knowledge.org/resource/wordnet_firebox_103344509,firebox,a furnace (as on a steam locomotive) in which fuel is burned
163,http://yago-knowledge.org/resource/wordnet_national_capital_108691669,national capital,the capital city of a nation
164,http://yago-knowledge.org/resource/wordnet_pit_109393108,pit,a sizeable hole (usually in the ground); 'they dug a pit to bury the body'
165,http://yago-knowledge.org/resource/wordnet_pit_109393108,cavity,a sizeable hole (usually in the ground); 'they dug a pit to bury the body'
166,http://yago-knowledge.org/resource/wordnet_glacier_109289331,glacier,a slowly moving mass of ice
167,http://yago-knowledge.org/resource/wordnet_bank_102787772,bank,a building in which the business of banking transacted; 'the bank is on the corner of Nassau and Witherspoon'
168,http://yago-knowledge.org/resource/wordnet_bank_102787772,bank building,a building in which the business of banking transacted; 'the bank is on the corner of Nassau and Witherspoon'
169,http://yago-knowledge.org/resource/wordnet_village_108672738,hamlet,a settlement smaller than a town
170,http://yago-knowledge.org/resource/wordnet_village_108672738,village,a settlement smaller than a town
171,http://yago-knowledge.org/resource/wordnet_feeder_109278997,feeder,a branch that flows into the main stream
172,http://yago-knowledge.org/resource/wordnet_feeder_109278997,affluent,a branch that flows into the main stream
173,http://yago-knowledge.org/resource/wordnet_feeder_109278997,confluent,a branch that flows into the main stream
174,http://yago-knowledge.org/resource/wordnet_feeder_109278997,tributary,a branch that flows into the main stream
175,http://yago-knowledge.org/resource/wordnet_fjord_109281104,fjord,a long narrow inlet of the sea between steep cliffs; common in Norway
176,http://yago-knowledge.org/resource/wordnet_fjord_109281104,fiord,a long narrow inlet of the sea between steep cliffs; common in Norway
177,http://yago-knowledge.org/resource/wordnet_dam_103160309,dike,a barrier constructed to contain the flow of water or to keep out the sea
178,http://yago-knowledge.org/resource/wordnet_dam_103160309,dam,a barrier constructed to contain the flow of water or to keep out the sea
179,http://yago-knowledge.org/resource/wordnet_dam_103160309,dyke,a barrier constructed to contain the flow of water or to keep out the sea
180,http://yago-knowledge.org/resource/wordnet_sole_104258982,sole,the underside of footwear or a golf club
181,http://yago-knowledge.org/resource/wordnet_particle_detector_103894051,particle detector,a chamber in which particles can be made visible
182,http://yago-knowledge.org/resource/wordnet_icecap_109308743,ice cap,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)"
183,http://yago-knowledge.org/resource/wordnet_icecap_109308743,icecap,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)"
184,http://yago-knowledge.org/resource/wordnet_public_square_108619620,square,an open area at the meeting of two or more streets
185,http://yago-knowledge.org/resource/wordnet_public_square_108619620,public square,an open area at the meeting of two or more streets
186,http://yago-knowledge.org/resource/wordnet_trench_104478657,trench,a ditch dug as a fortification having a parapet of the excavated earth
187,http://yago-knowledge.org/resource/wordnet_room_104105893,room,an area within a building enclosed by walls and floor and ceiling; 'the rooms were very small but they had a nice view'
188,http://yago-knowledge.org/resource/wordnet_toll_bridge_104449449,toll bridge,a bridge where toll is charged for crossing
189,http://yago-knowledge.org/resource/wordnet_meridian_108598823,meridian,an imaginary great circle on the surface of the earth passing through the north and south poles at right angles to the equator; 'all points on the same meridian have the same longitude'
190,http://yago-knowledge.org/resource/wordnet_meridian_108598823,line of longitude,an imaginary great circle on the surface of the earth passing through the north and south poles at right angles to the equator; 'all points on the same meridian have the same longitude'
191,http://yago-knowledge.org/resource/wordnet_dock_103217191,dock,an enclosure in a court of law where the defendant sits during the trial
192,http://yago-knowledge.org/resource/wordnet_court_103120198,court,an area wholly or partly surrounded by walls or buildings; 'the house was built around an inner court'
193,http://yago-knowledge.org/resource/wordnet_court_103120198,courtyard,an area wholly or partly surrounded by walls or buildings; 'the house was built around an inner court'
194,http://yago-knowledge.org/resource/wordnet_air_passage_102690941,air passage,a duct that provides ventilation (as in mines)
195,http://yago-knowledge.org/resource/wordnet_air_passage_102690941,air duct,a duct that provides ventilation (as in mines)
196,http://yago-knowledge.org/resource/wordnet_air_passage_102690941,airway,a duct that provides ventilation (as in mines)
197,http://yago-knowledge.org/resource/wordnet_township_108672199,township,an administrative division of a county; 'the town is responsible for snow removal'
198,http://yago-knowledge.org/resource/wordnet_township_108672199,town,an administrative division of a county; 'the town is responsible for snow removal'
199,http://yago-knowledge.org/resource/wordnet_fairground_108614632,fairground,an open area for holding fairs or exhibitions or circuses
200,http://yago-knowledge.org/resource/wordnet_fireplace_103346455,fireplace,an open recess in a wall at the base of a chimney where a fire can be built; 'the fireplace was so large you could walk inside it'; 'he laid a fire in the hearth and lit it'; 'the hearth was black with the charcoal of many fires'
201,http://yago-knowledge.org/resource/wordnet_fireplace_103346455,hearth,an open recess in a wall at the base of a chimney where a fire can be built; 'the fireplace was so large you could walk inside it'; 'he laid a fire in the hearth and lit it'; 'the hearth was black with the charcoal of many fires'
202,http://yago-knowledge.org/resource/wordnet_fireplace_103346455,open fireplace,an open recess in a wall at the base of a chimney where a fire can be built; 'the fireplace was so large you could walk inside it'; 'he laid a fire in the hearth and lit it'; 'the hearth was black with the charcoal of many fires'
203,http://yago-knowledge.org/resource/wordnet_prairie_108619524,prairie,a treeless grassy plain
204,http://yago-knowledge.org/resource/wordnet_reservation_108587174,reservation,a district that is reserved for particular purpose
205,http://yago-knowledge.org/resource/wordnet_reservation_108587174,reserve,a district that is reserved for particular purpose
206,http://yago-knowledge.org/resource/wordnet_salt_mine_104131610,salt mine,a mine where salt is dug
207,http://yago-knowledge.org/resource/wordnet_railway_junction_104048979,railway junction,a junction where two or more railway lines meet or cross
208,http://yago-knowledge.org/resource/wordnet_excavation_103302121,excavation,a hole in the ground made by excavating
209,http://yago-knowledge.org/resource/wordnet_hill_109303008,hill,a local and well-defined elevation of the land; 'they loved to roam the hills of West Virginia'
210,http://yago-knowledge.org/resource/wordnet_drive_103242713,drive,a wide scenic road planted with trees; 'the riverside drive offers many exciting scenic views'
211,http://yago-knowledge.org/resource/wordnet_drive_103242713,parkway,a wide scenic road planted with trees; 'the riverside drive offers many exciting scenic views'
212,http://yago-knowledge.org/resource/wordnet_prison_camp_104005912,internment camp,a camp for prisoners of war
213,http://yago-knowledge.org/resource/wordnet_prison_camp_104005912,prison camp,a camp for prisoners of war
214,http://yago-knowledge.org/resource/wordnet_prison_camp_104005912,prisoner of war camp,a camp for prisoners of war
215,http://yago-knowledge.org/resource/wordnet_khanate_108558082,khanate,the realm of a khan
216,http://yago-knowledge.org/resource/wordnet_cenotaph_102993194,cenotaph,a monument built to honor people whose remains are interred elsewhere or whose remains cannot be recovered
217,http://yago-knowledge.org/resource/wordnet_cenotaph_102993194,empty tomb,a monument built to honor people whose remains are interred elsewhere or whose remains cannot be recovered
218,http://yago-knowledge.org/resource/wordnet_seigneury_113252293,seigneury,the estate of a seigneur
219,http://yago-knowledge.org/resource/wordnet_seigneury_113252293,seigniory,the estate of a seigneur
220,http://yago-knowledge.org/resource/wordnet_seigneury_113252293,signory,the estate of a seigneur
221,http://yago-knowledge.org/resource/wordnet_grotto_109294877,grot,a small cave (usually with attractive features)
222,http://yago-knowledge.org/resource/wordnet_grotto_109294877,grotto,a small cave (usually with attractive features)
223,http://yago-knowledge.org/resource/wordnet_military_installation_103763133,military installation,any facility servicing military forces
224,http://yago-knowledge.org/resource/wordnet_tunnel_104497962,tunnel,"a passageway through or under something, usually underground (especially one for trains or cars); 'the tunnel reduced congestion at that intersection'"
225,http://yago-knowledge.org/resource/wordnet_railroad_tunnel_104048441,railroad tunnel,a tunnel through which the railroad track runs
226,http://yago-knowledge.org/resource/wordnet_iceberg_109308572,iceberg,a large mass of ice floating at sea; usually broken off of a polar glacier
227,http://yago-knowledge.org/resource/wordnet_iceberg_109308572,berg,a large mass of ice floating at sea; usually broken off of a polar glacier
228,http://yago-knowledge.org/resource/wordnet_watercourse_104559275,watercourse,a conduit through which water flows
229,http://yago-knowledge.org/resource/wordnet_watercourse_104559275,waterway,a conduit through which water flows
230,http://yago-knowledge.org/resource/wordnet_jail_103592245,slammer,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
